name,lineage,bootstrap,ambiguity,representative
Algeria/G0638_2264/2020|EPI_ISL_418241||Algeria|Boufarik||2020-03-02,B.1.4,100,0,
Algeria/G0640_2265/2020|EPI_ISL_418242||Algeria|Blida||2020-03-08,B.1.4,99/69,0,1
Algeria/G0860_2262/2020|EPI_ISL_420037||Algeria|Boufarik||2020-03-02,B.1.4,99/91,0,1
Anhui/SZ005/2020|EPI_ISL_413485||China|Anhui|Suzhou|2020-01-24,A,None,0,
Argentina/C121/2020|EPI_ISL_420600||Argentina|||2020-03-07,B.1,98/100,0,
Argentina/C1374/2020|EPI_ISL_420599||Argentina|||2020-03-18,B.1,77,0,
Argentina/C3013/2020|EPI_ISL_420598||Argentina|||2020-03-22,B.1,99/100,0,
Australia/NSW01/2020|EPI_ISL_407893||Australia|New_South_Wales|Sydney|2020-01-24,A,None,0,
Australia/NSW02/2020|EPI_ISL_408976||Australia|New_South_Wales|Sydney|2020-01-22,B,90/97,0,
Australia/NSW03/2020|EPI_ISL_408977||Australia|New_South_Wales|Sydney|2020-01-25,B,98,0,
Australia/NSW04/2020|EPI_ISL_417030||Australia|New_South_Wales|Sydney|2020-01-24,A,74,0,
Australia/NSW05/2020|EPI_ISL_412975||Australia|New_South_Wales|Sydney|2020-02-28,B.4,93,0,
Australia/NSW06/2020|EPI_ISL_413213||Australia|New_South_Wales|Sydney|2020-02-29,B.4,77,0,
Australia/NSW07/2020|EPI_ISL_413214||Australia|New_South_Wales|Sydney|2020-02-29,B.4,79,0,1
Australia/NSW08/2020|EPI_ISL_413594||Australia|NSW|Sydney|2020-02-28,B,98,0,
Australia/NSW09/2020|EPI_ISL_413595||Australia|NSW|Sydney|2020-02-28,B.4,73,0,
Australia/NSW10/2020|EPI_ISL_413596||Australia|NSW|Sydney|2020-02-28,B,99,0,
Australia/NSW11/2020|EPI_ISL_413597||Australia|NSW|Sydney|2020-03-02,B.4,75,0,1
