header	name	GISAID	country	date	lineage	representative
Wuhan/IVDC-HB-01/2019|EPI_ISL_402119|2019-12-30	Wuhan/IVDC-HB-01/2019	EPI_ISL_402119	China	2019-12-30	B	
Wuhan/IVDC-HB-04/2020|EPI_ISL_402120|2020-01-01	Wuhan/IVDC-HB-04/2020	EPI_ISL_402120	China	2020-01-01	B	
Wuhan/IVDC-HB-05/2019|EPI_ISL_402121|2019-12-30	Wuhan/IVDC-HB-05/2019	EPI_ISL_402121	China	2019-12-30	B	
Wuhan/IPBCAMS-WH-01/2019|EPI_ISL_402123|2019-12-24	Wuhan/IPBCAMS-WH-01/2019	EPI_ISL_402123	China	2019-12-24	B	
Wuhan/WIV04/2019|EPI_ISL_402124|2019-12-30	Wuhan/WIV04/2019	EPI_ISL_402124	China	2019-12-30	B	
Wuhan-Hu-1/2019|EPI_ISL_402125|2019-12-31	Wuhan-Hu-1/2019	EPI_ISL_402125	China	2019-12-31	B	1
Wuhan/WIV02/2019|EPI_ISL_402127|2019-12-30	Wuhan/WIV02/2019	EPI_ISL_402127	China	2019-12-30	B	
Wuhan/WIV05/2019|EPI_ISL_402128|2019-12-30	Wuhan/WIV05/2019	EPI_ISL_402128	China	2019-12-30	B	
Wuhan/WIV06/2019|EPI_ISL_402129|2019-12-30	Wuhan/WIV06/2019	EPI_ISL_402129	China	2019-12-30	B	
Wuhan/WIV07/2019|EPI_ISL_402130|2019-12-30	Wuhan/WIV07/2019	EPI_ISL_402130	China	2019-12-30	B	
Wuhan/HBCDC-HB-01/2019|EPI_ISL_402132|2019-12-30	Wuhan/HBCDC-HB-01/2019	EPI_ISL_402132	China	2019-12-30	B	
Wuhan/IPBCAMS-WH-05/2020|EPI_ISL_403928|2020-01-01	Wuhan/IPBCAMS-WH-05/2020	EPI_ISL_403928	China	2020-01-01	B	1
Wuhan/IPBCAMS-WH-04/2019|EPI_ISL_403929|2019-12-30	Wuhan/IPBCAMS-WH-04/2019	EPI_ISL_403929	China	2019-12-30	B	
Wuhan/IPBCAMS-WH-03/2019|EPI_ISL_403930|2019-12-30	Wuhan/IPBCAMS-WH-03/2019	EPI_ISL_403930	China	2019-12-30	B	
Wuhan/IPBCAMS-WH-02/2019|EPI_ISL_403931|2019-12-30	Wuhan/IPBCAMS-WH-02/2019	EPI_ISL_403931	China	2019-12-30	B	
Guangdong/20SF012/2020|EPI_ISL_403932|2020-01-14	Guangdong/20SF012/2020	EPI_ISL_403932	China	2020-01-14	A	
Guangdong/20SF013/2020|EPI_ISL_403933|2020-01-15	Guangdong/20SF013/2020	EPI_ISL_403933	China	2020-01-15	A	
Guangdong/20SF014/2020|EPI_ISL_403934|2020-01-15	Guangdong/20SF014/2020	EPI_ISL_403934	China	2020-01-15	B	
Guangdong/20SF025/2020|EPI_ISL_403935|2020-01-15	Guangdong/20SF025/2020	EPI_ISL_403935	China	2020-01-15	A	
Guangdong/20SF028/2020|EPI_ISL_403936|2020-01-17	Guangdong/20SF028/2020	EPI_ISL_403936	China	2020-01-17	B	
Guangdong/20SF040/2020|EPI_ISL_403937|2020-01-18	Guangdong/20SF040/2020	EPI_ISL_403937	China	2020-01-18	B	1
Nonthaburi/61/2020|EPI_ISL_403962|2020-01-08	Nonthaburi/61/2020	EPI_ISL_403962	Thailand	2020-01-08	B	
Nonthaburi/74/2020|EPI_ISL_403963|2020-01-13	Nonthaburi/74/2020	EPI_ISL_403963	Thailand	2020-01-13	B	
Zhejiang/WZ-01/2020|EPI_ISL_404227|2020-01-16	Zhejiang/WZ-01/2020	EPI_ISL_404227	China	2020-01-16	B	
Zhejiang/WZ-02/2020|EPI_ISL_404228|2020-01-17	Zhejiang/WZ-02/2020	EPI_ISL_404228	China	2020-01-17	B	
USA/WA1/2020|EPI_ISL_404895|2020-01-19	USA/WA1/2020	EPI_ISL_404895	USA	2020-01-19	A	
Shenzhen/HKU-SZ-005/2020|EPI_ISL_405839|2020-01-11	Shenzhen/HKU-SZ-005/2020	EPI_ISL_405839	China	2020-01-11	A	
Shenzhen/HKU-SZ-002/2020|EPI_ISL_406030|2020-01-10	Shenzhen/HKU-SZ-002/2020	EPI_ISL_406030	China	2020-01-10	A	
Taiwan/2/2020|EPI_ISL_406031|2020-01-23	Taiwan/2/2020	EPI_ISL_406031	Taiwan	2020-01-23	B	
USA/CA1/2020|EPI_ISL_406034|2020-01-23	USA/CA1/2020	EPI_ISL_406034	USA	2020-01-23	A.3	
USA/CA2/2020|EPI_ISL_406036|2020-01-22	USA/CA2/2020	EPI_ISL_406036	USA	2020-01-22	B	
USA/AZ1/2020|EPI_ISL_406223|2020-01-22	USA/AZ1/2020	EPI_ISL_406223	USA	2020-01-22	A	
Guangdong/20SF174/2020|EPI_ISL_406531|2020-01-22	Guangdong/20SF174/2020	EPI_ISL_406531	China	2020-01-22	B	
Guangzhou/20SF206/2020|EPI_ISL_406533|2020-01-22	Guangzhou/20SF206/2020	EPI_ISL_406533	China	2020-01-22	B	
Foshan/20SF207/2020|EPI_ISL_406534|2020-01-22	Foshan/20SF207/2020	EPI_ISL_406534	Foshan	2020-01-22	B	
Foshan/20SF210/2020|EPI_ISL_406535|2020-01-22	Foshan/20SF210/2020	EPI_ISL_406535	Foshan	2020-01-22	B	
Foshan/20SF211/2020|EPI_ISL_406536|2020-01-22	Foshan/20SF211/2020	EPI_ISL_406536	Foshan	2020-01-22	B	
Guangdong/20SF201/2020|EPI_ISL_406538|2020-01-23	Guangdong/20SF201/2020	EPI_ISL_406538	China	2020-01-23	B	
Shenzhen/SZTH-002/2020|EPI_ISL_406593|2020-01-13	Shenzhen/SZTH-002/2020	EPI_ISL_406593	China	2020-01-13	A	
Shenzhen/SZTH-003/2020|EPI_ISL_406594|2020-01-16	Shenzhen/SZTH-003/2020	EPI_ISL_406594	China	2020-01-16	B	
France/IDF0372/2020|EPI_ISL_406596|2020-01-23	France/IDF0372/2020	EPI_ISL_406596	France	2020-01-23	B	
France/IDF0373/2020|EPI_ISL_406597|2020-01-23	France/IDF0373/2020	EPI_ISL_406597	France	2020-01-23	B	
China/WHU01/2020|EPI_ISL_406716|2020-01-02	China/WHU01/2020	EPI_ISL_406716	China	2020-01-02	B	
China/WHU02/2020|EPI_ISL_406717|2020-01-02	China/WHU02/2020	EPI_ISL_406717	China	2020-01-02	B	
Wuhan/WH01/2019|EPI_ISL_406798|2019-12-26	Wuhan/WH01/2019	EPI_ISL_406798	China	2019-12-26	B	
Wuhan/WH03/2020|EPI_ISL_406800|2020-01-01	Wuhan/WH03/2020	EPI_ISL_406800	China	2020-01-01	B	
Wuhan/WH04/2020|EPI_ISL_406801|2020-01-05	Wuhan/WH04/2020	EPI_ISL_406801	China	2020-01-05	A	1
Australia/VIC01/2020|EPI_ISL_406844|2020-01-25	Australia/VIC01/2020	EPI_ISL_406844	Australia	2020-01-25	B	
Germany/BavPat1/2020|EPI_ISL_406862|2020-01-28	Germany/BavPat1/2020	EPI_ISL_406862	Germany	2020-01-28	B	
Hangzhou/HZ-1/2020|EPI_ISL_406970|2020-01-20	Hangzhou/HZ-1/2020	EPI_ISL_406970	China	2020-01-20	B	
Singapore/1/2020|EPI_ISL_406973|2020-01-23	Singapore/1/2020	EPI_ISL_406973	Singapore	2020-01-23	B	
England/01/2020|EPI_ISL_407071|2020-01-29	England/01/2020	EPI_ISL_407071	UK	2020-01-29	A	
England/02/2020|EPI_ISL_407073|2020-01-29	England/02/2020	EPI_ISL_407073	UK	2020-01-29	A	
Finland/1/2020|EPI_ISL_407079|2020-01-29	Finland/1/2020	EPI_ISL_407079	Finland	2020-01-29	B	
Japan/AI/I-004/2020|EPI_ISL_407084|2020-01-25	Japan/AI/I-004/2020	EPI_ISL_407084	Japan	2020-01-25	B	
South_Korea/KCDC03/2020|EPI_ISL_407193|2020-01-25	South_Korea/KCDC03/2020	EPI_ISL_407193	South_Korea	2020-01-25	A	
Hangzhou/HZCDC0001/2020|EPI_ISL_407313|2020-01-19	Hangzhou/HZCDC0001/2020	EPI_ISL_407313	China	2020-01-19	B	
Australia/NSW01/2020|EPI_ISL_407893|2020-01-24	Australia/NSW01/2020	EPI_ISL_407893	Australia	2020-01-24	A	
Australia/QLD01/2020|EPI_ISL_407894|2020-01-28	Australia/QLD01/2020	EPI_ISL_407894	Australia	2020-01-28	A	
